fwhm,ap_eff_single_gaussian,ap_eff_double_gaussian,ap_eff_moffat,ap_eff_etc
0.3,0.9999117983273833,0.9895918468111946,0.9837119100208561,1.0
0.35,0.998950037503375,0.9853879157156751,0.9668870871767894,1.0
0.39999999999999997,0.9947598926290238,0.978661561319176,0.942505193421202,1.0
0.44999999999999996,0.984223904634039,0.9663153746473703,0.9111037175767598,0.9492365900000002
0.49999999999999994,0.9652958798225395,0.9462572516238015,0.8740075268069057,0.8961105200000001
0.5499999999999999,0.9378123364178951,0.9182325697222337,0.8328918699541136,0.8441372500000001
0.5999999999999999,0.9030881080729204,0.8834421791249677,0.7894317732900799,0.7938023600000002
0.6499999999999999,0.8631257688799678,0.843774524532861,0.7450922896408736,0.7454686900000002
0.7,0.819989406360886,0.8011938511189985,0.7010406378155754,0.69939137
0.7499999999999999,0.7754660238787937,0.7574067363383474,0.6581384534764071,0.6557331200000001
0.7999999999999998,0.730946963400464,0.7137426401884014,0.6169761640224193,0.6145794200000002
0.8499999999999999,0.6874330755769213,0.6711557491405982,0.5779233926934314,0.5759527700000001
0.8999999999999999,0.6455934629382368,0.6302801416237124,0.54118045756297,0.5398259500000001
0.95,0.6058380130625867,0.5914993952779266,0.5068238743678926,0.50613371
0.9999999999999998,0.5683850303844972,0.5550120881743774,0.47484345077004575,0.4747830500000001
1.0499999999999998,0.5333171894449142,0.520886258963829,0.4451709898708371,0.44566176000000013
1.0999999999999999,0.5006248563443475,0.48910166468603067,0.4177016795810331,0.4186456100000001
1.15,0.470238236451215,0.4595811313818831,0.3923095569549015,0.39360399
1.1999999999999997,0.44205051374304066,0.4322130603359579,0.36885838878911875,0.3704043500000001
1.2499999999999998,0.41593409905159046,0.40686715120867495,0.3472091173990349,0.3524857533333334
1.2999999999999998,0.3917517801763644,0.3834051073789819,0.327224793532064,0.3345671566666667
1.3499999999999999,0.3693641874068971,0.361687723860233,0.3087737068074131,0.31664856
1.3999999999999997,0.34863464322384363,0.34157941941493747,0.29173124617989643,0.29872996333333346
1.4499999999999997,0.3294321825516169,0.32295099386952525,0.27598088166809004,0.28081136666666673
1.4999999999999998,0.3116333109816031,0.3056811727330542,0.26141455035149913,0.26289277000000005
1.5499999999999998,0.2951229042601674,0.2896573367438586,0.24793264867419565,0.26289277
